id	type	sourceRef	answer	Lchapter	confidence	依據
senior-bigdata-114-2-q01	past	114年第二梯次 第1題	D	L221	高	Z 分數=（值−均值）／標準差，Z=2 即高於平均 2 個標準差
senior-bigdata-114-2-q02	past	114年第二梯次 第2題	B	L223	高	pandas describe() 回傳一組敘述統計量
senior-bigdata-114-2-q03	past	114年第二梯次 第3題	A	L221	中	附圖長尾偏左屬負偏，Skewness<0；圖形需肉眼判讀
senior-bigdata-114-2-q04	past	114年第二梯次 第4題	B	L221	高	連續型 CDF 為 PDF 的積分
senior-bigdata-114-2-q05	past	114年第二梯次 第5題	B	L223	高	Label Encoding 對無序類別引入虛假順序關係
senior-bigdata-114-2-q06	past	114年第二梯次 第6題	C	L223	高	標準化不會壓縮至 0~1（該效果屬 Min-Max），故 C 敘述不正確
senior-bigdata-114-2-q07	past	114年第二梯次 第7題	C	L222	高	原子性＝交易不可分割、全成或全敗
senior-bigdata-114-2-q08	past	114年第二梯次 第8題	B	L223	高	以既有欄位相除產生新變數屬特徵衍生
senior-bigdata-114-2-q09	past	114年第二梯次 第9題	C	L223	高	穩健縮放用中位數與 IQR，對離群值不敏感
senior-bigdata-114-2-q10	past	114年第二梯次 第10題	C	L223	高	即時偵測偏離常態的可疑交易為異常偵測典型情境
senior-bigdata-114-2-q11	past	114年第二梯次 第11題	C	L222	高	海量 IoT 即時監控需大數據平台＋即時分析
senior-bigdata-114-2-q12	past	114年第二梯次 第12題	A	L223	高	隨機過採樣複製樣本易增過擬合風險
senior-bigdata-114-2-q13	past	114年第二梯次 第13題	D	L224	高	同態加密可在加密狀態下直接運算
senior-bigdata-114-2-q14	past	114年第二梯次 第14題	D	L223	高	5:5 時 Gini=0.5，正規化除以最大值 0.5 得 1
senior-bigdata-114-2-q15	past	114年第二梯次 第15題	C	L221	高	獨立、率固定、單位時間計數→卜瓦松分佈
senior-bigdata-114-2-q16	past	114年第二梯次 第16題	A	L221	高	Z=(3200−2000)/400=3，達 |Z|≥3 判為異常
senior-bigdata-114-2-q17	past	114年第二梯次 第17題	B	L223	高	無序類別用 Label Encoding 易造順序誤判與重要性偏誤
senior-bigdata-114-2-q18	past	114年第二梯次 第18題	A	L222	高	節點出錯仍不部分更新＝原子性全有全無
